iter	F1	Logloss
408	0.8811072726	0.3514423166
409	0.8812169567	0.3514081814
410	0.8812425258	0.3513154064
411	0.8811217809	0.351274018
412	0.8809533666	0.3512301951
413	0.8811583584	0.3511910237
414	0.8811839223	0.3511417995
415	0.8812205139	0.3510866935
416	0.8814510874	0.3510277831
417	0.8814401272	0.3509645703
418	0.8814035174	0.3509236069
419	0.881623222	0.3508686694
420	0.881623222	0.3498042679
421	0.8816964812	0.3483507927
422	0.8817331154	0.3480665511
423	0.881612297	0.3480270616
424	0.8816746584	0.3479766325
425	0.8819312746	0.347934983
426	0.8819312746	0.347889764
427	0.8819937748	0.3478345662
428	0.8819937748	0.3477806839
429	0.8820563144	0.3477216994
430	0.8820196174	0.3470644607
431	0.8820196174	0.3469892836
432	0.8820563144	0.3469329723
433	0.8819612057	0.3468890435
434	0.882034629	0.3468204161
435	0.882265769	0.3467776688
436	0.8823759576	0.3467284489
437	0.8823284447	0.3465614935
438	0.8824019292	0.3465175652
439	0.8824386761	0.3464655212
440	0.8823911601	0.346412208
441	0.8824279151	0.346374489
442	0.882380386	0.3463249824
443	0.882380386	0.3461833512
444	0.882637792	0.3461352158
445	0.8825167101	0.3461030599
446	0.882637792	0.3460600864
447	0.8827220651	0.3460197309
448	0.8829060084	0.3459210054
449	0.8832110674	0.345872403
